Identity flow,Spoofing (S),Tampering (T),Repudiation (R),Information Disclosure (I),Denial of Service (D),Elevation of Privilege (E)
F1 Human user → Auth0 (OIDC+PKCE),Credential stuffing / fake Universal Login (phishing SSO),Tamper authorize redirect / PKCE verifier,Login success without MFA log binding,Auth code leak in Referer / browser history,Auth0 brute-force without Attack Protection,Bypass MFA / hijack enterprise connection
F2 Human user → AI agent (chat prompt),Attacker session as customer (stolen cookie),Modify prompt in transit (MITM if TLS broken),User denies sending jailbreak prompt,PII in chat captured by third-party plugin,Prompt flood / token exhaustion,User claims CSR role in prompt (role elevation LLM01)
F3 Auth0 → Agent (OBO user JWT),Stolen bearer token used by rogue agent,Rewrite scopes in unsigned/weak JWT,No token-use audit (repudiation of API calls),JWT in browser storage / HAR files,Token endpoint flooded (client credentials),Token with extra audience/admin scopes
F4 Agent M2M client → Auth0 token endpoint,Leaked client_secret impersonates M2M client,Substitute token request parameters,M2M minting not attributed to workload,Client secret in repo or prompt context,Credential stuffing against M2M client,M2M client authorized to privileged APIs
F5 Agent → Internal REST API,Spoofed agent JWT accepted (wrong JWKS),Tamper request body after authn,API logs lack agent_id / user_sub,Excessive customer PII in responses to model,High-rate ticket export,IDOR / scope confusion (confused deputy)
F6 Agent → RAG pipeline,Rogue service uses stolen RAG workload identity,Inject/alter query embeddings,Retrievals not logged with chunk IDs,Sensitive runbooks retrieved into context,Retrieval storms / vector DB saturation,Query filter bypass returns restricted tenants
F7 RAG pipeline → Vector DB,Stolen DB creds as pipeline identity,Overwrite embeddings (chunk poisoning),Ingest jobs without signed operator identity,Dump all chunks including secrets,Drop index / resource exhaustion,Write path used by read-only identity
F8 Agent → MCP server tools,Fake MCP peer / tool name spoofing,Tool-argument injection / schema abuse,Tool calls without signed audit,Tool returns secrets into LLM context,Recursive tool loop DoS,Unallowlisted tool with admin side effects
F9 Agent → LLM provider (API key),Other tenant/key used if key leaked,Prompt/template tampering in gateway,Provider logs not correlated to agent_id,System prompt / key echo (LLM07),Cost/availability abuse via long context,Model asked to invoke privileged tools
F10 MCP / Agent → Audit log store,Attacker writes fake success audit as agent,Alter or delete audit events,Unsigned logs enable repudiation,Audit store contains raw tokens,Log flood hides identity incidents,Disable logging via admin API
F11 Secrets store → Agent (LLM key rotation),Workload identity spoof to checkout keys,Replace secret with attacker-controlled key,Key checkout not attributable,Key material logged by sidecar,Lock out rotation (availability of inference),Agent obtains prod + admin provider keys
F12 Enterprise SSO IdP → Auth0 connection,Federated IdP impersonation,SAML/OIDC assertion tampering,SSO events not in SecureNova SIEM,Group claims leak internal org chart,IdP outage blocks all agents,Wrong group → admin role mapping
