Risk ID,Threat,Asset / identity,Identity flow,STRIDE,MITRE ATLAS,OWASP LLM,Likelihood (1-5),Impact (1-5),Risk Score (LxI),Rank,Owner,Treatment
R-01,LLM API key exfiltration via prompt injection,LLM API key / model service account,F9 / Agent identity,Information Disclosure,AML.T0051,"LLM01, LLM07",5,5,25,1,AI Platform / Secrets Owner,Mitigate: secret isolation; output guardrails; 1h key rotation
R-02,Agent identity spoofing to elevated API scope,OAuth M2M client + user OBO token,"F3, F4, F5",Spoofing / Elevation of Privilege,AML.T0073,LLM09,4,5,20,2,IAM / Auth0 Administrator,Mitigate: DPoP/cnf; split clients; Auth0 RBAC; MFA on humans
R-04,Indirect prompt injection from tickets into RAG,AI agent context window,"F2, F6",Tampering / EoP,AML.T0051.001,LLM01,5,4,20,3,Agent Runtime Owner,Mitigate: untrusted-content delimiters; tool confirmation
R-06,M2M client secret in prompt or repository,OAuth M2M client,"F4, F11",Information Disclosure,AML.T0083 / AML.T0055,LLM02 / LLM07,4,5,20,4,Secrets Owner,Mitigate: no secrets in prompts; vault; rotate 24h
R-03,RAG chunk poisoning manipulating agent tools,Vector DB / RAG pipeline identity,"F6, F7",Tampering,AML.T0070,LLM08 / supply chain,4,4,16,5,Knowledge Engineering Lead,Mitigate: signed chunks; dual-control ingest; retrieval allow-list
R-08,Auth0 brute force / credential stuffing on Universal Login,Human user identities,F1,Spoofing / DoS,AML.T0012,Account takeover,4,4,16,6,Auth0 Administrator,Mitigate: Attack Protection; MFA; suspicious IP throttling
R-12,PII leakage from API responses into model logs,Customer PII,"F5, F9",Information Disclosure,AML.T0057,LLM06 / LLM02,4,4,16,7,Privacy + AI Platform,Mitigate: DLP/guardrails; minimize fields; provider ZDR
R-05,MCP tool spoofing / unauthorized tool invocation,MCP server identity,F8,Spoofing / EoP,AML.T0073,LLM09,3,5,15,8,MCP Platform Owner,Mitigate: mTLS; tool allow-list; Ed25519 bind; Zero Trust re-auth
R-07,Missing audit for non-human identities,Audit log store,F10,Repudiation,AML.T0012 supporting,Logging / LLM10,4,3,12,9,SOC / Detection Engineering,Mitigate: mandatory identity event schema + SIEM use cases
R-10,Recursive MCP/tool loop denial of service,Agent + LLM quota + APIs,"F8, F9",Denial of Service,AML.T0048 (availability),LLM10,3,4,12,10,SRE / AI Platform,Mitigate: depth limits; per-identity rate limits; budgets
R-11,Enterprise SSO group-to-role mis-mapping,Human admin / CSR roles,F12,Elevation of Privilege,AML.T0012,Access control,2,5,10,11,IAM / Auth0 Administrator,Mitigate: least privilege mappings; access reviews
R-09,System prompt / policy extraction,Agent system prompt and guardrail policy,F9,Information Disclosure,AML.T0056,LLM07,3,3,9,12,Agent Runtime Owner,Accept residual; monitor; do not store secrets in prompt
